longitude,latitude,LC,city,dataset,B2,B3,B4,B8,B11,B12,NDVI,EVI,SAVI,NDBI,elevation,slope,aspect,texture_contrast,texture_entropy
-75.58105898655792,6.283221339009787,0,Medellin,training,0.0716,0.0893,0.1206,0.1672,0.2449,0.2328,0.161918,0.0860540683565319,0.08982963836115039,0.18854648,1581,6.2272606,116.42721,58941.68055555556,4.353741458929681
-75.57575892638161,6.291575671152098,0,Medellin,training,0.0944,0.1222,0.1498,0.1838,0.2326,0.2246,0.10090558,0.057858542831810175,0.05783491063989861,0.14151995,1577,7.223442,140.02411,166833.64285714284,4.353741458929681
-75.57243515983036,6.288611230714504,0,Medellin,training,0.0808,0.1038,0.117,0.1608,0.2262,0.2231,0.15756434,0.0916493202342459,0.09215015037749125,0.14570302,1523,6.204977,153.29637,44308.14087301586,4.341363830705396
-75.57683690472255,6.279717909401721,0,Medellin,training,0.1166,0.1344,0.1546,0.182,0.2614,0.251,0.081402265,0.05546110174902918,0.04912742443329143,0.16608696,1526,7.9589133,125.37475,60257.652777777796,4.339300892668016
-75.58680820437628,6.278190773418718,0,Medellin,training,0.1176,0.1444,0.191,0.2436,0.2564,0.2368,0.13520752,0.09868422909095294,0.09586586918477952,9.643137E-4,1568,11.32662,165.88245,191818.78670634914,4.353741458929681
-75.59013197092752,6.279448414816485,0,Medellin,training,0.077,0.0881,0.1082,0.165,0.2464,0.2421,0.2180451,0.12195121463368418,0.11357701984169366,0.17711866,1599,12.987005,140.5415,79831.75793650793,4.348927936842459
-75.58914382411498,6.282233192197255,0,Medellin,training,0.144,0.1736,0.1808,0.2116,0.2397,0.2246,0.07849133,0.06330154309942286,0.05177050555628461,0.062264554,1639,19.564583,155.64285,56812.396825396834,4.2691609993970685
-75.58105898655792,6.275765322151595,0,Medellin,training,0.0874,0.1092,0.1426,0.1876,0.2523,0.246,0.11841292,0.06814858357769203,0.06965719593945709,0.14395827,1522,3.8400862,103.95542,17532.8878968254,4.3331120785558745
-75.5764775786089,6.275316164509535,0,Medellin,training,0.0592,0.0622,0.076,0.1014,0.1844,0.199,0.110638306,0.04642857576454325,0.04534884132696703,0.29722124,1482,7.6060095,194.11748,28300.568452380954,4.353741458929681
-75.57530976873954,6.2672313269524595,0,Medellin,training,0.2762,0.2756,0.2564,0.2274,0.7623,0.9123,-0.06354007,-0.09654061583560358,-0.04108337731906883,0.5404668,1462,4.1605,63.572083,1599836.9394841269,4.27397452148429
-75.57405212734179,6.271902566429881,0,Medellin,training,0.0946,0.105,0.1156,0.141,0.239,0.2331,0.08429753,0.04822023528636675,0.043438566386218624,0.25789472,1468,2.0755281,26.702887,300992.61408730166,4.353741458929681
-75.58860483494452,6.268309305293403,0,Medellin,training,0.0889,0.1234,0.205,0.2514,0.342,0.3344,0.092314325,0.05791871444732884,0.0667840316950069,0.14880753,1505,8.697323,212.16,95197.10218253969,4.353741458929681
-75.59552186263224,6.264266886514865,0,Medellin,training,0.0803,0.1058,0.1272,0.1838,0.252,0.2261,0.18431373,0.10972763043417075,0.10496278185380209,0.16260698,1499,2.9462442,288.33228,159285.11706349207,4.32260195076624
-75.5990252922403,6.2625600874750385,0,Medellin,training,0.119,0.1426,0.1536,0.1968,0.2265,0.204,0.08419958,0.06394063142076979,0.05492766225588591,0.07708332,1498,2.9321868,161.46193,139836.85119047618,4.353741458929681
-75.59363540053559,6.258697331753324,0,Medellin,training,0.0751,0.0929,0.146,0.1876,0.2381,0.2098,0.10429446,0.05696322152070599,0.06370389058460153,0.11862814,1493,2.946216,108.33244,134489.5,4.353741458929681
-75.59165910691053,6.248546369042773,0,Medellin,training,0.0772,0.105,0.1242,0.1586,0.2343,0.2228,0.15082958,0.08005124606777145,0.07841088541893149,0.19477595,1491,3.9405622,225.1707,218688.44047619047,4.353741458929681
